Manufacturer,Model,Modbus_RTU,RS485_Documented,Default_Baud,Supported_Bauds,Parity,Data_Bits,Stop_Bits,Slave_ID_Min,Slave_ID_Max,Default_Slave_ID,Termination_Ohms,Termination_Watts,Register_Frequency_Addr,Register_Frequency_Type,Register_Current_Addr,Register_Current_Type,Register_Voltage_Addr,Register_Voltage_Type,Register_Power_Addr,Register_Power_Type,Register_Fault_Addr,Register_Fault_Type,Register_RPM_Addr,Register_RPM_Type,Primary_Document,Page_Reference,Data_Completeness,Notes
VACON,0100 Series,Yes,Yes,9600,"1200, 2400, 4800, 9600, 19200, 38400, 57600, 115200",8N1,8,1,1,247,1,120,0.25,0x9C40,Holding Register,0x9C41,Holding Register,0x9C42,Holding Register,0x9C43,Holding Register,0x9C50,Holding Register,0x9C45,Holding Register,Vacon-100-Modbus-User-Manual-DPD00156D-UK.pdf,24-25,90%,"Multi-protocol (RTU/TCP/UDP), Extensive register tables available"
TECO,A510/A510s,Yes,Yes,9600,"1200, 2400, 4800, 9600, 19200, 38400",8N1,8,1,1,247,1,120,0.25,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,A510-Communication-Addendum.pdf,2-4,85%,"See TECO-A510-A510S-REGISTER-ADDRESS-LIST.pdf for register mapping, Auto-Baud search supported"
FRENIC,MEGA Series,Yes,Yes,9600,"2400, 4800, 9600, 19200, 38400",Even/Odd,8,"1 or 2",1,247,NOT_SPECIFIED,120,0.25,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,NOT_DOCUMENTED,Holding,FRENIC-MEGA-User-Manual.pdf,14,80%,"Parity options available, Register details in communication chapter"
FRENIC,ACE Series,Yes,Yes,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,8,1,1,247,NOT_SPECIFIED,120,0.25,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,FRENIC-Ace-Instruction-Manual-INR-SI47-1733f-E.pdf,3-7,75%,"Configurable via panel or Modbus commands"
HITACHI,SJ700/SJ7002,Yes,Yes,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,8,1,1,247,NOT_SPECIFIED,120,0.25,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,HITACHI-SJ7002-Instruction-Manual.pdf,14-28,80%,"Modbus on page 14, RS485 on page 28"
HITACHI,SJ700N,Yes,Yes,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,8,1,1,247,NOT_SPECIFIED,120,0.25,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,HITACHI-SJ700N.pdf,VARIES,60%,"Quick reference guide, see main SJ700 manual"
HITACHI,SH1/P1 Series,Yes,Yes,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,8,1,1,247,2,120,0.25,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,Hitachi-SH1-Register-Address.pdf,6-30,83%,"Dedicated register address PDF, Setup file in DOCX format"
TEK DRIVE,TDS-V8,Yes,Yes,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,8,1,1,247,NOT_SPECIFIED,120,0.25,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,TDS-V8-Instruction-Manual.pdf,VARIES,68%,"See communication/network sections"
TEK DRIVE,TDS-F8,Yes,Yes,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,8,1,1,247,NOT_SPECIFIED,120,0.25,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,TDS-F8-Instruction-Manual.pdf,VARIES,68%,"See communication/network sections"
YASKAWA,A1000 Series,Yes,Yes,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,8,1,1,247,NOT_SPECIFIED,120,0.25,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,NOT_DOCUMENTED,YASKAWA A1000 USER MANUAL.pdf,VARIES,87%,"Comprehensive manual (33.3 MB), Multi-protocol support"
